datetime,symbol,side,entry_type,entry_price,is_entry,is_entry_plan,is_boast,is_fear,is_fear_plan,is_greed,is_stop,is_stop_plan,is_lc,is_lc_plan,is_tp,is_tp_plan
2025.12.26 07:56,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 08:05,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 08:52,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 08:52,USDJPY,BUY,LIMIT,155.47,0,0,0,0,0,0,0,1,0,0,0,0
2025.12.26 08:52,USDJPY,SELL,LIMIT,157.40,0,0,0,0,0,0,0,0,0,0,0,1
2025.12.26 09:51,USDJPY,SELL,LIMIT,157.13,0,1,0,0,0,0,0,0,0,0,0,0
2025.12.26 09:52,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,1,0,0,0,0,0
2025.12.26 09:56,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,1,0
2025.12.26 10:02,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2025.12.26 10:03,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 10:09,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 10:48,USDJPY,SELL,LIMIT,157,0,1,0,0,0,0,0,0,0,0,0,0
2025.12.26 13:03,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 13:59,USDJPY,SELL,LIMIT,156.30,0,0,0,0,0,0,0,0,0,0,0,1
2025.12.26 14:22,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2025.12.26 14:46,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 14:46,USDJPY,SELL,LIMIT,156.60,0,0,0,0,0,0,0,0,0,0,0,1
2025.12.26 16:43,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 17:33,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 17:35,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2025.12.26 18:39,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2025.12.26 18:39,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 20:25,USDJPY,SELL,LIMIT,156.4,0,1,0,0,0,0,0,0,0,0,0,0
2025.12.26 20:30,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 22:11,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2025.12.26 22:13,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2025.12.26 22:26,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 23:48,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2025.12.26 23:59,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
